token,symbol,name,exch_seg,expiry,instrumenttype
100033,IDFCFIRSTB26DEC2467PE,IDFCFIRSTB,NFO,26DEC2024,OPTSTK
100126,EXIDEIND26DEC24380PE,EXIDEIND,NFO,26DEC2024,OPTSTK
100131,JSWSTEEL27FEB25880CE,JSWSTEEL,NFO,27FEB2025,OPTSTK
100132,JSWSTEEL27FEB25880PE,JSWSTEEL,NFO,27FEB2025,OPTSTK
100141,EXIDEIND26DEC24440CE,EXIDEIND,NFO,26DEC2024,OPTSTK
100143,JSWSTEEL27FEB25960CE,JSWSTEEL,NFO,27FEB2025,OPTSTK
100146,EXIDEIND26DEC24460PE,EXIDEIND,NFO,26DEC2024,OPTSTK
100158,JSWSTEEL27FEB251020PE,JSWSTEEL,NFO,27FEB2025,OPTSTK
100172,JSWSTEEL27FEB251160PE,JSWSTEEL,NFO,27FEB2025,OPTSTK
100314,JUBLFOOD30JAN25570CE,JUBLFOOD,NFO,30JAN2025,OPTSTK
100317,JUBLFOOD30JAN25590PE,JUBLFOOD,NFO,30JAN2025,OPTSTK
100322,JUBLFOOD30JAN25650CE,JUBLFOOD,NFO,30JAN2025,OPTSTK
100332,JUBLFOOD30JAN25750CE,JUBLFOOD,NFO,30JAN2025,OPTSTK
100403,JUBLFOOD27FEB25680PE,JUBLFOOD,NFO,27FEB2025,OPTSTK
100406,JUBLFOOD27FEB25700PE,JUBLFOOD,NFO,27FEB2025,OPTSTK
100414,JUBLFOOD27FEB25760CE,JUBLFOOD,NFO,27FEB2025,OPTSTK
100420,IEX26DEC24212.5PE,IEX,NFO,26DEC2024,OPTSTK
100473,JUBLFOOD27FEB25840CE,JUBLFOOD,NFO,27FEB2025,OPTSTK
100642,IEX30JAN25150PE,IEX,NFO,30JAN2025,OPTSTK
100655,IEX30JAN25170CE,IEX,NFO,30JAN2025,OPTSTK
100668,IEX30JAN25185PE,IEX,NFO,30JAN2025,OPTSTK
100676,IEX30JAN25190PE,IEX,NFO,30JAN2025,OPTSTK
100683,FEDERALBNK26DEC24240CE,FEDERALBNK,NFO,26DEC2024,OPTSTK
100686,FEDERALBNK26DEC24245PE,FEDERALBNK,NFO,26DEC2024,OPTSTK
100694,IEX30JAN25220CE,IEX,NFO,30JAN2025,OPTSTK
100711,KALYANKJIL26DEC24690PE,KALYANKJIL,NFO,26DEC2024,OPTSTK
100738,IGL26DEC24430PE,IGL,NFO,26DEC2024,OPTSTK
100754,KALYANKJIL26DEC24750CE,KALYANKJIL,NFO,26DEC2024,OPTSTK
100759,KALYANKJIL26DEC24770PE,KALYANKJIL,NFO,26DEC2024,OPTSTK
100790,KALYANKJIL26DEC24870CE,KALYANKJIL,NFO,26DEC2024,OPTSTK
100818,IGL30JAN25240CE,IGL,NFO,30JAN2025,OPTSTK
100851,KALYANKJIL30JAN25620CE,KALYANKJIL,NFO,30JAN2025,OPTSTK
100852,KALYANKJIL30JAN25620PE,KALYANKJIL,NFO,30JAN2025,OPTSTK
100864,KALYANKJIL30JAN25680PE,KALYANKJIL,NFO,30JAN2025,OPTSTK
100942,IGL30JAN25340PE,IGL,NFO,30JAN2025,OPTSTK
100961,IGL30JAN25380PE,IGL,NFO,30JAN2025,OPTSTK
100962,KALYANKJIL27FEB25640CE,KALYANKJIL,NFO,27FEB2025,OPTSTK
100968,IGL30JAN25400CE,IGL,NFO,30JAN2025,OPTSTK
100982,IGL30JAN25420CE,IGL,NFO,30JAN2025,OPTSTK
100994,IGL30JAN25460PE,IGL,NFO,30JAN2025,OPTSTK
100995,IGL30JAN25480CE,IGL,NFO,30JAN2025,OPTSTK
101055,INDHOTEL26DEC24810PE,INDHOTEL,NFO,26DEC2024,OPTSTK
101086,KALYANKJIL27FEB25720CE,KALYANKJIL,NFO,27FEB2025,OPTSTK
101202,KALYANKJIL27FEB25820PE,KALYANKJIL,NFO,27FEB2025,OPTSTK
101203,KALYANKJIL27FEB25840CE,KALYANKJIL,NFO,27FEB2025,OPTSTK
101229,INDHOTEL30JAN25760PE,INDHOTEL,NFO,30JAN2025,OPTSTK
101233,INDHOTEL30JAN25780PE,INDHOTEL,NFO,30JAN2025,OPTSTK
101256,KEI26DEC244100CE,KEI,NFO,26DEC2024,OPTSTK
101259,INDHOTEL30JAN25800PE,INDHOTEL,NFO,30JAN2025,OPTSTK
101333,INDIAMART26DEC242050CE,INDIAMART,NFO,26DEC2024,OPTSTK
101338,INDIAMART26DEC242250PE,INDIAMART,NFO,26DEC2024,OPTSTK
101349,INDIAMART26DEC242650PE,INDIAMART,NFO,26DEC2024,OPTSTK
101408,KEI30JAN254300CE,KEI,NFO,30JAN2025,OPTSTK
101444,INDIAMART30JAN252000PE,INDIAMART,NFO,30JAN2025,OPTSTK
101451,INDIAMART30JAN252200CE,INDIAMART,NFO,30JAN2025,OPTSTK
101546,INDIGO26DEC244150PE,INDIGO,NFO,26DEC2024,OPTSTK
101544,INDIGO26DEC244050PE,INDIGO,NFO,26DEC2024,OPTSTK
101554,KEI27FEB253800CE,KEI,NFO,27FEB2025,OPTSTK
101562,INDIGO26DEC244750PE,INDIGO,NFO,26DEC2024,OPTSTK
101575,KEI27FEB254800CE,KEI,NFO,27FEB2025,OPTSTK
101584,INDIGO26DEC244950CE,INDIGO,NFO,26DEC2024,OPTSTK
101673,KOTAKBANK30JAN251780CE,KOTAKBANK,NFO,30JAN2025,OPTSTK
101767,GAIL26DEC24150PE,GAIL,NFO,26DEC2024,OPTSTK
101784,GAIL26DEC24190CE,GAIL,NFO,26DEC2024,OPTSTK
101805,INDIGO30JAN254300CE,INDIGO,NFO,30JAN2025,OPTSTK
101814,GAIL26DEC24225PE,GAIL,NFO,26DEC2024,OPTSTK
101815,INDIGO30JAN254500PE,INDIGO,NFO,30JAN2025,OPTSTK
101821,INDIGO30JAN254700PE,INDIGO,NFO,30JAN2025,OPTSTK
101888,INDUSINDBK26DEC24900PE,INDUSINDBK,NFO,26DEC2024,OPTSTK
101930,KOTAKBANK27FEB251720PE,KOTAKBANK,NFO,27FEB2025,OPTSTK
101933,KOTAKBANK27FEB251800CE,KOTAKBANK,NFO,27FEB2025,OPTSTK
