id,name,state_code,state_id_id
1,Bamboo Flat,AN,4023
2,Nicobar,AN,4023
3,Port Blair,AN,4023
4,South Andaman,AN,4023
5,Addanki,AP,4017
6,Adoni,AP,4017
7,Akasahebpet,AP,4017
8,Akividu,AP,4017
9,Akkarampalle,AP,4017
10,Amalapuram,AP,4017
11,Amudalavalasa,AP,4017
12,Anakapalle,AP,4017
13,Anantapur,AP,4017
14,Atmakur,AP,4017
15,Attili,AP,4017
16,Avanigadda,AP,4017
17,Badvel,AP,4017
18,Banganapalle,AP,4017
19,Bapatla,AP,4017
20,Betamcherla,AP,4017
21,Bhattiprolu,AP,4017
22,Bhimavaram,AP,4017
23,Bhimunipatnam,AP,4017
24,Bobbili,AP,4017
25,Challapalle,AP,4017
26,Chemmumiahpet,AP,4017
27,Chilakalurupet,AP,4017
28,Chinnachowk,AP,4017
29,Chipurupalle,AP,4017
30,Chirala,AP,4017
31,Chittoor,AP,4017
32,Chodavaram,AP,4017
33,Cuddapah,AP,4017
34,Cumbum,AP,4017
35,Darsi,AP,4017
36,Dharmavaram,AP,4017
37,Dhone,AP,4017
38,Diguvametta,AP,4017
39,East Godavari,AP,4017
40,Elamanchili,AP,4017
41,Ellore,AP,4017
42,Emmiganur,AP,4017
43,Erraguntla,AP,4017
44,Etikoppaka,AP,4017
45,Gajuwaka,AP,4017
46,Ganguvada,AP,4017
47,Gannavaram,AP,4017
48,Giddalur,AP,4017
49,Gokavaram,AP,4017
50,Gorantla,AP,4017
51,GovindapuramChilakaluripetGuntur,AP,4017
52,Gudivada,AP,4017
53,Gudlavalleru,AP,4017
54,Gudur,AP,4017
55,Guntakal Junction,AP,4017
56,Guntur,AP,4017
57,Hindupur,AP,4017
58,Ichchapuram,AP,4017
59,Jaggayyapeta,AP,4017
60,Jammalamadugu,AP,4017
61,Kadiri,AP,4017
62,Kaikalur,AP,4017
63,Kakinada,AP,4017
64,Kalyandurg,AP,4017
65,Kamalapuram,AP,4017
66,Kandukur,AP,4017
67,Kanigiri,AP,4017
68,Kankipadu,AP,4017
69,Kanuru,AP,4017
70,Kavali,AP,4017
71,Kolanukonda,AP,4017
72,Kondapalle,AP,4017
73,Korukollu,AP,4017
74,Kosigi,AP,4017
75,Kovvur,AP,4017
76,Krishna,AP,4017
77,Kuppam,AP,4017
78,Kurnool,AP,4017
79,Macherla,AP,4017
80,Machilipatnam,AP,4017
81,Madanapalle,AP,4017
82,Madugula,AP,4017
83,Mandapeta,AP,4017
84,Mandasa,AP,4017
85,Mangalagiri,AP,4017
86,Markapur,AP,4017
87,Nagari,AP,4017
88,Nagireddipalli,AP,4017
89,Nandigama,AP,4017
90,Nandikotkur,AP,4017
91,Nandyal,AP,4017
92,Narasannapeta,AP,4017
